echeance,strike,type,bid,ask,close,mid_option_price,reference_type,spread_pct,quote_age_seconds,flag,reference_spot,reference_type_spot,capture_ts,snapshot_version
20260619,6600.0,C,,,0.1,0.1,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6600.0,P,,,343.1,343.1,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6000.0,C,294.2,300.8,265.0,297.5,mid,0.02218,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6000.0,P,3.1,3.4,5.0,3.25,mid,0.09231,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6025.0,C,269.8,276.4,241.0,273.1,mid,0.02417,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6025.0,P,3.7,4.1,6.0,3.9,mid,0.10256,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6050.0,C,245.7,252.2,217.4,248.95,mid,0.02611,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6050.0,P,4.5,5.0,7.4,4.75,mid,0.10526,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6075.0,C,221.9,228.3,194.1,225.10000000000002,mid,0.02843,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6075.0,P,5.6,6.1,9.1,5.85,mid,0.08547,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6100.0,C,199.2,203.7,171.5,201.45,mid,0.02234,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6100.0,P,7.3,7.6,11.5,7.449999999999999,mid,0.04027,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6125.0,C,176.4,180.7,149.6,178.55,mid,0.02408,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6125.0,P,9.1,9.7,14.6,9.399999999999999,mid,0.06383,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6150.0,C,155.0,158.4,128.6,156.7,mid,0.0217,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6150.0,P,11.7,12.4,18.6,12.05,mid,0.05809,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6175.0,C,133.9,136.2,108.8,135.05,mid,0.01703,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6175.0,P,15.2,16.0,23.7,15.6,mid,0.05128,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6200.0,C,113.7,115.6,90.3,114.65,mid,0.01657,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6200.0,P,19.7,20.6,30.2,20.15,mid,0.04467,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6225.0,C,94.5,96.4,73.3,95.45,mid,0.01991,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6225.0,P,25.4,26.4,38.2,25.9,mid,0.03861,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6250.0,C,76.8,78.7,58.2,77.75,mid,0.02444,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6250.0,P,32.6,33.8,48.1,33.2,mid,0.03614,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6275.0,C,61.0,62.5,45.0,61.75,mid,0.02429,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
