echeance,strike,type,T,forward,log_moneyness,iv_calculee,variance_totale,gardee,raison_rejet
20260626,6500.0,C,0.024657534246575342,6294.494497225719,0.03212681489723915,0.1198,0.0003538859178082192,True,ok
20260626,6500.0,P,0.024657534246575342,6294.494497225719,0.03212681489723915,,,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6525.0,C,0.024657534246575342,6294.494497225719,0.03596559120440495,0.1205,0.00035803356164383556,True,ok
20260626,6525.0,P,0.024657534246575342,6294.494497225719,0.03596559120440495,,,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6550.0,C,0.024657534246575342,6294.494497225719,0.0397896876428083,0.123,0.00037304383561643833,True,ok
20260626,6550.0,P,0.024657534246575342,6294.494497225719,0.0397896876428083,,,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6575.0,C,0.024657534246575342,6294.494497225719,0.0435992160594759,0.126,0.00039146301369863016,True,ok
20260626,6575.0,P,0.024657534246575342,6294.494497225719,0.0435992160594759,,,False,rejet_ITM (on garde l'OTM a ce strike)
20260626,6600.0,C,0.024657534246575342,6294.494497225719,0.04739428702802763,0.1318,0.0004283319452054794,False,rejet_prix_trop_faible
20260626,6600.0,P,0.024657534246575342,6294.494497225719,0.04739428702802763,,,False,rejet_ITM (on garde l'OTM a ce strike)
20260630,6000.0,C,0.03561643835616438,6293.7204830861765,-0.04779291836861061,0.1905,0.0012925294520547946,False,rejet_ITM (on garde l'OTM a ce strike)
20260630,6000.0,P,0.03561643835616438,6293.7204830861765,-0.04779291836861061,0.1654,0.000974364602739726,True,ok
20260630,6025.0,C,0.03561643835616438,6293.7204830861765,-0.04363490821994695,0.1826,0.0011875503561643837,False,rejet_ITM (on garde l'OTM a ce strike)
20260630,6025.0,P,0.03561643835616438,6293.7204830861765,-0.04363490821994695,0.1601,0.000912920904109589,True,ok
20260630,6050.0,C,0.03561643835616438,6293.7204830861765,-0.03949411555391557,0.1753,0.0010944963561643837,False,rejet_ITM (on garde l'OTM a ce strike)
20260630,6050.0,P,0.03561643835616438,6293.7204830861765,-0.03949411555391557,0.1547,0.000852375808219178,True,ok
20260630,6075.0,C,0.03561643835616438,6293.7204830861765,-0.03537039837005342,0.1682,0.0010076332054794518,False,rejet_ITM (on garde l'OTM a ce strike)
20260630,6075.0,P,0.03561643835616438,6293.7204830861765,-0.03537039837005342,0.1495,0.000796036301369863,True,ok
20260630,6100.0,C,0.03561643835616438,6293.7204830861765,-0.03126361641740003,0.1612,0.0009255088219178082,False,rejet_ITM (on garde l'OTM a ce strike)
20260630,6100.0,P,0.03561643835616438,6293.7204830861765,-0.03126361641740003,0.1455,0.000754008904109589,True,ok
20260630,6125.0,C,0.03561643835616438,6293.7204830861765,-0.027173631165874942,0.1562,0.0008689855342465753,False,rejet_ITM (on garde l'OTM a ce strike)
20260630,6125.0,P,0.03561643835616438,6293.7204830861765,-0.027173631165874942,0.1411,0.0007090951506849315,True,ok
20260630,6150.0,C,0.03561643835616438,6293.7204830861765,-0.02310030577823915,0.1498,0.0007992343013698629,False,rejet_ITM (on garde l'OTM a ce strike)
20260630,6150.0,P,0.03561643835616438,6293.7204830861765,-0.02310030577823915,0.1368,0.0006665345753424657,True,ok
20260630,6175.0,C,0.03561643835616438,6293.7204830861765,-0.019043505082624666,0.1447,0.0007457401917808219,False,rejet_ITM (on garde l'OTM a ce strike)
